"year","var","best","lo","hi","c_newinc_100k"
2002,"Prevalence",195.025939941406,174.408660888672,216.776062011719,NA
2003,"Incidence and notification",112.355056762695,108.800468444824,115.965866088867,56.8089768616639
2003,"Mortality (excluding HIV)",10.2662572860718,9.4950532913208,11.0671911239624,NA
2003,"Prevalence",187.802185058594,168.221206665039,208.443450927734,NA
2004,"Incidence and notification",109.402435302734,105.62467956543,113.24560546875,66.9844960902814
2004,"Mortality (excluding HIV)",9.64746189117432,9.08200740814209,10.2297716140747,NA
2004,"Prevalence",180.375091552734,161.774795532227,199.970993041992,NA
2005,"Incidence and notification",106.543472290039,102.633605957031,110.525421142578,73.1157987513272
2005,"Mortality (excluding HIV)",9.0911922454834,8.55706596374512,9.64126110076904,NA
2005,"Prevalence",172.780181884766,155.178909301758,191.311721801758,NA
2006,"Incidence and notification",103.766464233398,100.413360595703,107.173843383789,75.774596464873
2006,"Mortality (excluding HIV)",8.57461929321289,8.07066249847412,9.0936164855957,NA
2006,"Prevalence",165.282745361328,148.670028686523,182.76106262207,NA
2007,"Incidence and notification",101.05973815918,97.936637878418,104.23112487793,76.9025407988154
2007,"Mortality (excluding HIV)",8.06175708770752,7.57638692855835,8.5620059967041,NA
2007,"Prevalence",157.662948608398,141.994979858398,174.1376953125,NA
2008,"Incidence and notification",98.462272644043,95.4515075683594,101.519104003906,76.2235890645133
2008,"Mortality (excluding HIV)",7.6084942817688,7.13888311386108,8.0928783416748,NA
2008,"Prevalence",149.955184936523,135.077972412109,165.597244262695,NA
2009,"Incidence and notification",95.9035720825195,92.8327407836914,99.0237274169922,75.4554366370978
2009,"Mortality (excluding HIV)",7.20180130004883,6.7478175163269,7.67039728164673,NA
2009,"Prevalence",142.189147949219,128.063354492188,157.042251586914,NA
2010,"Incidence and notification",93.4443588256836,90.0016174316406,96.9507064819336,73.1598707346991
2010,"Mortality (excluding HIV)",6.81905698776245,6.37489128112793,7.27795124053955,NA
2010,"Prevalence",137.628280639648,123.924278259277,152.039596557617,NA
2011,"Incidence and notification",91.0623626708984,87.576545715332,94.6151885986328,73.9082641471705
2011,"Mortality (excluding HIV)",6.46119737625122,6.02787208557129,6.90931129455566,NA
2011,"Prevalence",133.046401977539,119.745079040527,147.037185668945,NA
2012,"Incidence and notification",88.8222579956055,84.640007019043,93.1038818359375,74.5416731336886
2012,"Mortality (excluding HIV)",6.13471603393555,5.70779991149902,6.57680320739746,NA
2012,"Prevalence",127.143852233887,114.343475341797,140.612655639648,NA
2013,"Incidence and notification",86.7560806274414,81.9844741821289,91.6605987548828,72.2339907475927
2013,"Mortality (excluding HIV)",5.82433223724365,5.39095115661621,6.27423286437988,NA
2013,"Prevalence",121.466766357422,109.163993835449,134.416168212891,NA
