"area","year","variable","value"
"Philippines",2008,"Success",53.4615384615385
"Philippines",2009,"Success",53.8071065989848
"Philippines",2010,"Success",41.6347381864623
"Philippines",2011,"Success",40.9298780487805
"Papua New Guinea",2010,"Success",38.8888888888889
"Papua New Guinea",2011,"Success",13.7931034482759
"Singapore",2007,"Success",75
"Singapore",2008,"Success",100
"Singapore",2009,"Success",100
"Singapore",2010,"Success",100
"Singapore",2011,"Success",83.3333333333333
"Viet Nam",2009,"Success",73.2673267326733
"Viet Nam",2010,"Success",78.3505154639175
"Viet Nam",2011,"Success",72.020725388601
"Western Pacific Region
",2007,"Died",10.8167770419426
"Western Pacific Region
",2008,"Died",11.7414248021108
"Western Pacific Region
",2009,"Died",9.73709834469328
"Western Pacific Region
",2010,"Died",10.142566191446
"Western Pacific Region
",2011,"Died",9.74516281264748
"Australia",2008,"Died",4.54545454545455
"Australia",2009,"Died",7.14285714285714
"Australia",2010,"Died",8.82352941176471
"Australia",2011,"Died",3.84615384615385
"China",2008,"Died",0
"China",2009,"Died",8.46153846153846
"China",2010,"Died",7.28314238952537
"China",2011,"Died",8.41121495327103
"China, Hong Kong SAR",2007,"Died",0
"China, Hong Kong SAR",2008,"Died",7.69230769230769
"China, Hong Kong SAR",2009,"Died",8.82352941176471
"China, Hong Kong SAR",2010,"Died",6.06060606060606
"China, Hong Kong SAR",2011,"Died",16.6666666666667
"Cambodia",2007,"Died",15.3846153846154
"Cambodia",2008,"Died",14.6341463414634
"Cambodia",2009,"Died",17.3913043478261
"Cambodia",2010,"Died",29.0322580645161
"Cambodia",2011,"Died",7.14285714285714
"Republic of Korea",2011,"Died",8.91330891330891
"Lao People's 
Democratic 
Republic",2011,"Died",33.3333333333333
"China, Macao SAR",2007,"Died",20
"China, Macao SAR",2008,"Died",16.6666666666667
"China, Macao SAR",2009,"Died",25
"China, Macao SAR",2010,"Died",0
"China, Macao SAR",2011,"Died",0
"Marshall Islands",2009,"Died",0
"Marshall Islands",2010,"Died",0
"Marshall Islands",2011,"Died",0
"Mongolia",2007,"Died",7.8125
"Mongolia",2008,"Died",9.23076923076923
"Mongolia",2009,"Died",9.09090909090909
"Mongolia",2010,"Died",8.33333333333333
"Mongolia",2011,"Died",11.1111111111111
"Malaysia",2007,"Died",15
"Malaysia",2008,"Died",14.2857142857143
"Malaysia",2009,"Died",18.1818181818182
"Malaysia",2010,"Died",12.5
"Malaysia",2011,"Died",12.0567375886525
"New Zealand",2007,"Died",0
"New Zealand",2009,"Died",0
"New Zealand",2010,"Died",0
"New Zealand",2011,"Died",0
"Philippines",2007,"Died",10.8108108108108
"Philippines",2008,"Died",11.9230769230769
"Philippines",2009,"Died",9.39086294416244
"Philippines",2010,"Died",13.7931034482759
"Philippines",2011,"Died",11.6615853658537
"Papua New Guinea",2010,"Died",50
"Papua New Guinea",2011,"Died",22.4137931034483
"Singapore",2007,"Died",25
"Singapore",2008,"Died",0
"Singapore",2009,"Died",0
"Singapore",2010,"Died",0
"Singapore",2011,"Died",16.6666666666667
"Viet Nam",2009,"Died",7.92079207920792
"Viet Nam",2010,"Died",8.24742268041237
"Viet Nam",2011,"Died",6.90846286701209
"Western Pacific Region
",2007,"Failed",3.09050772626932
"Western Pacific Region
",2008,"Failed",1.84696569920844
"Western Pacific Region
",2009,"Failed",8.37390457643622
"Western Pacific Region
",2010,"Failed",9.36863543788187
"Western Pacific Region
",2011,"Failed",7.17319490325625
"Australia",2008,"Failed",0
"Australia",2009,"Failed",0
"Australia",2010,"Failed",0
"Australia",2011,"Failed",0
"China",2008,"Failed",38.4615384615385
"China",2009,"Failed",24.6153846153846
"China",2010,"Failed",16.4484451718494
"China",2011,"Failed",20.4672897196262
"China, Hong Kong SAR",2007,"Failed",0
"China, Hong Kong SAR",2008,"Failed",0
"China, Hong Kong SAR",2009,"Failed",0
"China, Hong Kong SAR",2010,"Failed",0
"China, Hong Kong SAR",2011,"Failed",0
"Cambodia",2007,"Failed",0
"Cambodia",2008,"Failed",2.4390243902439
"Cambodia",2009,"Failed",0
"Cambodia",2010,"Failed",3.2258064516129
"Cambodia",2011,"Failed",3.57142857142857
"Republic of Korea",2011,"Failed",0.244200244200244
"Lao People's 
Democratic 
Republic",2011,"Failed",0
"China, Macao SAR",2007,"Failed",0
"China, Macao SAR",2008,"Failed",16.6666666666667
"China, Macao SAR",2009,"Failed",0
"China, Macao SAR",2010,"Failed",0
"China, Macao SAR",2011,"Failed",0
"Marshall Islands",2009,"Failed",0
"Marshall Islands",2010,"Failed",0
"Marshall Islands",2011,"Failed",0
"Mongolia",2007,"Failed",4.6875
"Mongolia",2008,"Failed",4.61538461538462
"Mongolia",2009,"Failed",10.2272727272727
"Mongolia",2010,"Failed",5.12820512820513
"Mongolia",2011,"Failed",7.93650793650794
"Malaysia",2007,"Failed",0
"Malaysia",2008,"Failed",0
"Malaysia",2009,"Failed",0
"Malaysia",2010,"Failed",0
"Malaysia",2011,"Failed",0
"New Zealand",2007,"Failed",0
"New Zealand",2009,"Failed",0
"New Zealand",2010,"Failed",0
"New Zealand",2011,"Failed",0
"Philippines",2007,"Failed",3.71621621621622
"Philippines",2008,"Failed",0.769230769230769
"Philippines",2009,"Failed",1.52284263959391
"Philippines",2010,"Failed",1.53256704980843
"Philippines",2011,"Failed",2.13414634146341
"Papua New Guinea",2010,"Failed",5.55555555555556
"Papua New Guinea",2011,"Failed",0
"Singapore",2007,"Failed",0
"Singapore",2008,"Failed",0
"Singapore",2009,"Failed",0
"Singapore",2010,"Failed",0
"Singapore",2011,"Failed",0
"Viet Nam",2009,"Failed",6.93069306930693
"Viet Nam",2010,"Failed",7.21649484536082
"Viet Nam",2011,"Failed",7.426597582038
"Western Pacific Region
",2007,"Lost to follow-up",16.1147902869757
"Western Pacific Region
",2008,"Lost to follow-up",19.1292875989446
"Western Pacific Region
",2009,"Lost to follow-up",17.332035053554
"Western Pacific Region
",2010,"Lost to follow-up",16.7820773930754
"Western Pacific Region
",2011,"Lost to follow-up",21.3780084945729
"Australia",2008,"Lost to follow-up",9.09090909090909
"Australia",2009,"Lost to follow-up",7.14285714285714
"Australia",2010,"Lost to follow-up",8.82352941176471
"Australia",2011,"Lost to follow-up",0
"China",2008,"Lost to follow-up",7.69230769230769
"China",2009,"Lost to follow-up",7.69230769230769
"China",2010,"Lost to follow-up",8.34697217675941
"China",2011,"Lost to follow-up",8.22429906542056
"China, Hong Kong SAR",2007,"Lost to follow-up",3.84615384615385
"China, Hong Kong SAR",2008,"Lost to follow-up",19.2307692307692
"China, Hong Kong SAR",2009,"Lost to follow-up",20.5882352941176
"China, Hong Kong SAR",2010,"Lost to follow-up",6.06060606060606
"China, Hong Kong SAR",2011,"Lost to follow-up",20
"Cambodia",2007,"Lost to follow-up",15.3846153846154
"Cambodia",2008,"Lost to follow-up",14.6341463414634
"Cambodia",2009,"Lost to follow-up",4.34782608695652
"Cambodia",2010,"Lost to follow-up",0
"Cambodia",2011,"Lost to follow-up",1.78571428571429
"Republic of Korea",2011,"Lost to follow-up",23.5653235653236
"Lao People's 
Democratic 
Republic",2011,"Lost to follow-up",0
"China, Macao SAR",2007,"Lost to follow-up",0
"China, Macao SAR",2008,"Lost to follow-up",0
"China, Macao SAR",2009,"Lost to follow-up",0
"China, Macao SAR",2010,"Lost to follow-up",16.6666666666667
"China, Macao SAR",2011,"Lost to follow-up",0
"Marshall Islands",2009,"Lost to follow-up",0
"Marshall Islands",2010,"Lost to follow-up",0
"Marshall Islands",2011,"Lost to follow-up",50
"Mongolia",2007,"Lost to follow-up",9.375
"Mongolia",2008,"Lost to follow-up",9.23076923076923
"Mongolia",2009,"Lost to follow-up",6.81818181818182
"Mongolia",2010,"Lost to follow-up",8.97435897435897
"Mongolia",2011,"Lost to follow-up",11.9047619047619
"Malaysia",2007,"Lost to follow-up",2.5
"Malaysia",2008,"Lost to follow-up",3.57142857142857
"Malaysia",2009,"Lost to follow-up",7.27272727272727
"Malaysia",2010,"Lost to follow-up",3.125
"Malaysia",2011,"Lost to follow-up",5.67375886524823
"New Zealand",2007,"Lost to follow-up",50
"New Zealand",2009,"Lost to follow-up",0
"New Zealand",2010,"Lost to follow-up",0
"New Zealand",2011,"Lost to follow-up",0
"Philippines",2007,"Lost to follow-up",20.9459459459459
"Philippines",2008,"Lost to follow-up",23.6538461538462
"Philippines",2009,"Lost to follow-up",32.48730964467
"Philippines",2010,"Lost to follow-up",35.8876117496807
"Philippines",2011,"Lost to follow-up",39.4817073170732
"Papua New Guinea",2010,"Lost to follow-up",5.55555555555556
"Papua New Guinea",2011,"Lost to follow-up",3.44827586206897
"Singapore",2007,"Lost to follow-up",0
"Singapore",2008,"Lost to follow-up",0
"Singapore",2009,"Lost to follow-up",0
"Singapore",2010,"Lost to follow-up",0
"Singapore",2011,"Lost to follow-up",0
"Viet Nam",2009,"Lost to follow-up",8.91089108910891
"Viet Nam",2010,"Lost to follow-up",6.18556701030928
"Viet Nam",2011,"Lost to follow-up",12.7806563039724
"Western Pacific Region
",2007,"Not evaluated",5.96026490066225
"Western Pacific Region
",2008,"Not evaluated",9.76253298153034
"Western Pacific Region
",2009,"Not evaluated",7.49756572541383
"Western Pacific Region
",2010,"Not evaluated",17.5967413441955
"Western Pacific Region
",2011,"Not evaluated",9.8159509202454
"Australia",2008,"Not evaluated",13.6363636363636
"Australia",2009,"Not evaluated",14.2857142857143
"Australia",2010,"Not evaluated",26.4705882352941
"Australia",2011,"Not evaluated",53.8461538461538
"China",2008,"Not evaluated",7.69230769230769
"China",2009,"Not evaluated",13.0769230769231
"China",2010,"Not evaluated",26.1047463175123
"China",2011,"Not evaluated",12.9906542056075
"China, Hong Kong SAR",2007,"Not evaluated",34.6153846153846
"China, Hong Kong SAR",2008,"Not evaluated",11.5384615384615
"China, Hong Kong SAR",2009,"Not evaluated",17.6470588235294
"China, Hong Kong SAR",2010,"Not evaluated",21.2121212121212
"China, Hong Kong SAR",2011,"Not evaluated",3.33333333333333
"Cambodia",2007,"Not evaluated",0
"Cambodia",2008,"Not evaluated",0
"Cambodia",2009,"Not evaluated",0
"Cambodia",2010,"Not evaluated",0
"Cambodia",2011,"Not evaluated",1.78571428571429
"Republic of Korea",2011,"Not evaluated",7.81440781440781
"Lao People's 
Democratic 
Republic",2011,"Not evaluated",0
"China, Macao SAR",2007,"Not evaluated",0
"China, Macao SAR",2008,"Not evaluated",0
"China, Macao SAR",2009,"Not evaluated",0
"China, Macao SAR",2010,"Not evaluated",0
"China, Macao SAR",2011,"Not evaluated",0
"Marshall Islands",2009,"Not evaluated",0
"Marshall Islands",2010,"Not evaluated",0
"Marshall Islands",2011,"Not evaluated",0
"Mongolia",2007,"Not evaluated",0
"Mongolia",2008,"Not evaluated",0
"Mongolia",2009,"Not evaluated",0
"Mongolia",2010,"Not evaluated",3.2051282051282
"Mongolia",2011,"Not evaluated",2.38095238095238
"Malaysia",2007,"Not evaluated",35
"Malaysia",2008,"Not evaluated",23.2142857142857
"Malaysia",2009,"Not evaluated",27.2727272727273
"Malaysia",2010,"Not evaluated",53.125
"Malaysia",2011,"Not evaluated",54.6099290780142
"New Zealand",2007,"Not evaluated",0
"New Zealand",2009,"Not evaluated",57.1428571428571
"New Zealand",2010,"Not evaluated",66.6666666666667
"New Zealand",2011,"Not evaluated",50
"Philippines",2007,"Not evaluated",1.35135135135135
"Philippines",2008,"Not evaluated",10.1923076923077
"Philippines",2009,"Not evaluated",2.79187817258883
"Philippines",2010,"Not evaluated",7.15197956577267
"Philippines",2011,"Not evaluated",5.79268292682927
"Papua New Guinea",2010,"Not evaluated",0
"Papua New Guinea",2011,"Not evaluated",60.3448275862069
"Singapore",2007,"Not evaluated",0
"Singapore",2008,"Not evaluated",0
"Singapore",2009,"Not evaluated",0
"Singapore",2010,"Not evaluated",0
"Singapore",2011,"Not evaluated",0
"Viet Nam",2009,"Not evaluated",2.97029702970297
"Viet Nam",2010,"Not evaluated",0
"Viet Nam",2011,"Not evaluated",0.863557858376511
