"area","year","variable","value"
"Papua New Guinea",2012,"e_mdr_num_hi",1300
"Philippines",2006,"e_mdr_num_hi",0
"Philippines",2007,"e_mdr_num_hi",0
"Philippines",2008,"e_mdr_num_hi",0
"Philippines",2009,"e_mdr_num_hi",0
"Philippines",2010,"e_mdr_num_hi",0
"Philippines",2011,"e_mdr_num_hi",0
"Philippines",2012,"e_mdr_num_hi",15000
"Viet Nam",2006,"e_mdr_num_hi",0
"Viet Nam",2007,"e_mdr_num_hi",0
"Viet Nam",2008,"e_mdr_num_hi",0
"Viet Nam",2009,"e_mdr_num_hi",0
"Viet Nam",2010,"e_mdr_num_hi",0
"Viet Nam",2011,"e_mdr_num_hi",0
"Viet Nam",2012,"e_mdr_num_hi",4600
"Other countries",2006,"e_mdr_num_hi",0
"Other countries",2007,"e_mdr_num_hi",0
"Other countries",2008,"e_mdr_num_hi",0
"Other countries",2009,"e_mdr_num_hi",0
"Other countries",2010,"e_mdr_num_hi",0
"Other countries",2011,"e_mdr_num_hi",0
"Other countries",2012,"e_mdr_num_hi",3287
"WPR",2006,"mdr",569
"WPR",2007,"mdr",936
"WPR",2008,"mdr",1190
"WPR",2009,"mdr",2059
"WPR",2010,"mdr",4295
"WPR",2011,"mdr",4394
"WPR",2012,"mdr",5749
"Cambodia",2006,"mdr",0
"Cambodia",2007,"mdr",16
"Cambodia",2008,"mdr",31
"Cambodia",2009,"mdr",2
"Cambodia",2010,"mdr",31
"Cambodia",2011,"mdr",56
"Cambodia",2012,"mdr",75
"China",2006,"mdr",2
"China",2007,"mdr",79
"China",2008,"mdr",0
"China",2009,"mdr",474
"China",2010,"mdr",2792
"China",2011,"mdr",1601
"China",2012,"mdr",3007
"Lao People’s 
Democratic Republic",2006,"mdr",0
"Lao People’s 
Democratic Republic",2007,"mdr",0
"Lao People’s 
Democratic Republic",2008,"mdr",0
"Lao People’s 
Democratic Republic",2009,"mdr",0
"Lao People’s 
Democratic Republic",2010,"mdr",2
"Lao People’s 
Democratic Republic",2011,"mdr",4
"Lao People’s 
Democratic Republic",2012,"mdr",10
"Mongolia",2006,"mdr",98
"Mongolia",2007,"mdr",123
"Mongolia",2008,"mdr",115
"Mongolia",2009,"mdr",168
"Mongolia",2010,"mdr",187
"Mongolia",2011,"mdr",185
"Mongolia",2012,"mdr",210
"Papua New Guinea",2006,"mdr",0
"Papua New Guinea",2007,"mdr",0
"Papua New Guinea",2008,"mdr",5
"Papua New Guinea",2009,"mdr",0
"Papua New Guinea",2010,"mdr",0
"Papua New Guinea",2011,"mdr",15
"Papua New Guinea",2012,"mdr",58
"Philippines",2006,"mdr",403
"Philippines",2007,"mdr",568
"Philippines",2008,"mdr",929
"Philippines",2009,"mdr",1073
"Philippines",2010,"mdr",522
"Philippines",2011,"mdr",1148
"Philippines",2012,"mdr",679
"Viet Nam",2006,"mdr",0
"Viet Nam",2007,"mdr",0
"Viet Nam",2008,"mdr",0
"Viet Nam",2009,"mdr",217
"Viet Nam",2010,"mdr",101
"Viet Nam",2011,"mdr",601
"Viet Nam",2012,"mdr",273
"Other countries",2006,"mdr",66
"Other countries",2007,"mdr",150
"Other countries",2008,"mdr",110
"Other countries",2009,"mdr",125
"Other countries",2010,"mdr",660
"Other countries",2011,"mdr",784
"Other countries",2012,"mdr",1437
"WPR",2006,"conf_mdr_tx",0
"WPR",2007,"conf_mdr_tx",0
"WPR",2008,"conf_mdr_tx",573
"WPR",2009,"conf_mdr_tx",1429
"WPR",2010,"conf_mdr_tx",2112
"WPR",2011,"conf_mdr_tx",2785
"WPR",2012,"conf_mdr_tx",4179
"Cambodia",2006,"conf_mdr_tx",0
"Cambodia",2007,"conf_mdr_tx",0
"Cambodia",2008,"conf_mdr_tx",30
"Cambodia",2009,"conf_mdr_tx",0
"Cambodia",2010,"conf_mdr_tx",31
"Cambodia",2011,"conf_mdr_tx",56
"Cambodia",2012,"conf_mdr_tx",20
"China",2006,"conf_mdr_tx",0
"China",2007,"conf_mdr_tx",0
"China",2008,"conf_mdr_tx",0
"China",2009,"conf_mdr_tx",458
"China",2010,"conf_mdr_tx",1222
"China",2011,"conf_mdr_tx",1155
"China",2012,"conf_mdr_tx",1795
"Lao People’s 
Democratic Republic",2006,"conf_mdr_tx",0
"Lao People’s 
Democratic Republic",2007,"conf_mdr_tx",0
"Lao People’s 
Democratic Republic",2008,"conf_mdr_tx",0
"Lao People’s 
Democratic Republic",2009,"conf_mdr_tx",0
"Lao People’s 
Democratic Republic",2010,"conf_mdr_tx",2
"Lao People’s 
Democratic Republic",2011,"conf_mdr_tx",2
"Lao People’s 
Democratic Republic",2012,"conf_mdr_tx",8
"Mongolia",2006,"conf_mdr_tx",0
"Mongolia",2007,"conf_mdr_tx",0
"Mongolia",2008,"conf_mdr_tx",44
"Mongolia",2009,"conf_mdr_tx",88
"Mongolia",2010,"conf_mdr_tx",156
"Mongolia",2011,"conf_mdr_tx",126
"Mongolia",2012,"conf_mdr_tx",154
"Papua New Guinea",2006,"conf_mdr_tx",0
"Papua New Guinea",2007,"conf_mdr_tx",0
"Papua New Guinea",2008,"conf_mdr_tx",2
"Papua New Guinea",2009,"conf_mdr_tx",0
"Papua New Guinea",2010,"conf_mdr_tx",0
"Papua New Guinea",2011,"conf_mdr_tx",15
"Papua New Guinea",2012,"conf_mdr_tx",41
"Philippines",2006,"conf_mdr_tx",0
"Philippines",2007,"conf_mdr_tx",0
"Philippines",2008,"conf_mdr_tx",387
"Philippines",2009,"conf_mdr_tx",501
"Philippines",2010,"conf_mdr_tx",464
"Philippines",2011,"conf_mdr_tx",285
"Philippines",2012,"conf_mdr_tx",486
"Viet Nam",2006,"conf_mdr_tx",0
"Viet Nam",2007,"conf_mdr_tx",0
"Viet Nam",2008,"conf_mdr_tx",0
"Viet Nam",2009,"conf_mdr_tx",307
"Viet Nam",2010,"conf_mdr_tx",101
"Viet Nam",2011,"conf_mdr_tx",578
"Viet Nam",2012,"conf_mdr_tx",253
"Other countries",2006,"conf_mdr_tx",0
"Other countries",2007,"conf_mdr_tx",0
"Other countries",2008,"conf_mdr_tx",110
"Other countries",2009,"conf_mdr_tx",75
"Other countries",2010,"conf_mdr_tx",136
"Other countries",2011,"conf_mdr_tx",568
"Other countries",2012,"conf_mdr_tx",1422
"WPR",2006,"unconf_mdr_tx",0
"WPR",2007,"unconf_mdr_tx",0
"WPR",2008,"unconf_mdr_tx",0
"WPR",2009,"unconf_mdr_tx",0
"WPR",2010,"unconf_mdr_tx",98
"WPR",2011,"unconf_mdr_tx",2161
"WPR",2012,"unconf_mdr_tx",2163
"Cambodia",2006,"unconf_mdr_tx",0
"Cambodia",2007,"unconf_mdr_tx",0
"Cambodia",2008,"unconf_mdr_tx",0
"Cambodia",2009,"unconf_mdr_tx",0
"Cambodia",2010,"unconf_mdr_tx",7
"Cambodia",2011,"unconf_mdr_tx",1
"Cambodia",2012,"unconf_mdr_tx",90
"China",2006,"unconf_mdr_tx",0
"China",2007,"unconf_mdr_tx",0
"China",2008,"unconf_mdr_tx",0
"China",2009,"unconf_mdr_tx",0
"China",2010,"unconf_mdr_tx",0
"China",2011,"unconf_mdr_tx",0
"China",2012,"unconf_mdr_tx",111
"Lao People’s 
Democratic Republic",2006,"unconf_mdr_tx",0
"Lao People’s 
Democratic Republic",2007,"unconf_mdr_tx",0
"Lao People’s 
Democratic Republic",2008,"unconf_mdr_tx",0
"Lao People’s 
Democratic Republic",2009,"unconf_mdr_tx",0
"Lao People’s 
Democratic Republic",2010,"unconf_mdr_tx",0
"Lao People’s 
Democratic Republic",2011,"unconf_mdr_tx",0
"Lao People’s 
Democratic Republic",2012,"unconf_mdr_tx",1
"Mongolia",2006,"unconf_mdr_tx",0
"Mongolia",2007,"unconf_mdr_tx",0
"Mongolia",2008,"unconf_mdr_tx",0
"Mongolia",2009,"unconf_mdr_tx",0
"Mongolia",2010,"unconf_mdr_tx",0
"Mongolia",2011,"unconf_mdr_tx",0
"Mongolia",2012,"unconf_mdr_tx",17
"Papua New Guinea",2006,"unconf_mdr_tx",0
"Papua New Guinea",2007,"unconf_mdr_tx",0
"Papua New Guinea",2008,"unconf_mdr_tx",0
"Papua New Guinea",2009,"unconf_mdr_tx",0
"Papua New Guinea",2010,"unconf_mdr_tx",0
"Papua New Guinea",2011,"unconf_mdr_tx",45
"Papua New Guinea",2012,"unconf_mdr_tx",41
"Philippines",2006,"unconf_mdr_tx",0
"Philippines",2007,"unconf_mdr_tx",0
"Philippines",2008,"unconf_mdr_tx",0
"Philippines",2009,"unconf_mdr_tx",0
"Philippines",2010,"unconf_mdr_tx",84
"Philippines",2011,"unconf_mdr_tx",2112
"Philippines",2012,"unconf_mdr_tx",1432
"Viet Nam",2006,"unconf_mdr_tx",0
"Viet Nam",2007,"unconf_mdr_tx",0
"Viet Nam",2008,"unconf_mdr_tx",0
"Viet Nam",2009,"unconf_mdr_tx",0
"Viet Nam",2010,"unconf_mdr_tx",0
"Viet Nam",2011,"unconf_mdr_tx",0
"Viet Nam",2012,"unconf_mdr_tx",460
"Other countries",2006,"unconf_mdr_tx",0
"Other countries",2007,"unconf_mdr_tx",0
"Other countries",2008,"unconf_mdr_tx",0
"Other countries",2009,"unconf_mdr_tx",0
"Other countries",2010,"unconf_mdr_tx",7
"Other countries",2011,"unconf_mdr_tx",3
"Other countries",2012,"unconf_mdr_tx",11
