"country","year","variable","value"
"Philippines",2012,"Patients enrolled on treatment",1918
"Philippines",2013,"Patients enrolled on treatment",2262
"Papua New Guinea",2007,"Patients enrolled on treatment",NA
"Papua New Guinea",2008,"Patients enrolled on treatment",2
"Papua New Guinea",2009,"Patients enrolled on treatment",NA
"Papua New Guinea",2010,"Patients enrolled on treatment",NA
"Papua New Guinea",2011,"Patients enrolled on treatment",60
"Papua New Guinea",2012,"Patients enrolled on treatment",82
"Papua New Guinea",2013,"Patients enrolled on treatment",145
"Singapore",2007,"Patients enrolled on treatment",NA
"Singapore",2008,"Patients enrolled on treatment",4
"Singapore",2009,"Patients enrolled on treatment",3
"Singapore",2010,"Patients enrolled on treatment",3
"Singapore",2011,"Patients enrolled on treatment",5
"Singapore",2012,"Patients enrolled on treatment",22
"Singapore",2013,"Patients enrolled on treatment",15
"Viet Nam",2007,"Patients enrolled on treatment",NA
"Viet Nam",2008,"Patients enrolled on treatment",NA
"Viet Nam",2009,"Patients enrolled on treatment",307
"Viet Nam",2010,"Patients enrolled on treatment",101
"Viet Nam",2011,"Patients enrolled on treatment",578
"Viet Nam",2012,"Patients enrolled on treatment",713
"Viet Nam",2013,"Patients enrolled on treatment",948
